,Unnamed: 0,Nid,ISBN,description,Title,Author,Lib Note,What is the story about?/What happened in the story?,Who is your favorite character in the story? Why?,Why did you decide to read this book? Did a friend suggest it? Did it have an interesting cover?,Why did you like this story? or Why did you not like this story?,Other thoughts or feelings about this story? Anything else to add?,Rate Your Read,Reviews Titles,Your Age,UserID,emotion_emoData
222,222,68794,9781407116341,"Take a little Horror home with you! Twelve-year-olds Andy and Marnie had an awesome week in HorrorLand-despite their freaky encounter with Murder the Clown and the zombie mob. Then they think they've won big when they get a FREE souvenir from HorrorLand's Chiller House-and they're not so worried that the shopkeeper said they'd have to ""pay later."" Or that the hound's tooth is rumored to be haunted. It's totally worth the risk to have a tooth that grants wishes. But when Andy hears howling at night and Marnie starts acting strange, they begin to rethink the gift from HorrorLand.",goosebumps horrorland: when the ghost dog howls,r.l.stine,,"in a theme park called horrerland there is a gift shop called chiller house, two kids end up at chiller house. one buys a dog tooth, but not just any dog tooth, a dog tooth that belonged to a hound called blue kerlew hound.the dog tooth could grant any wish, but what the two kids did not know was that every wish that happend signaled blue kerlew hound. ",,because i read other goosebumps horrerland books and they were good,it was creative and is an original story,the owner of chiller house is jonathan chiller,4/5,When the Ghost Dog Howls,8.0,174.0,
223,223,68793,375812776,"When Andrew’s latest invention, the Atom Sucker, goes haywire, Andrew and Judy are shrunk down to microscopic level! Andrew and Judy find themselves lost on their neighbor’s dog, where they encounter everything from colossal fleas to crab-like eyelash mites. Now they have to find their way back to the Atom Sucker and get unshrunk before it’s too late!",Andrew lost: On the dog,J. C. Greenburg,,"Well it's about this boy who makes inventions and its pretty interesting, so yeah",,"Well, Me, My Dad and my Brother were at Goodwill and I was looking at the books and I found a book that had a interesting cover so I got it.",Because it is worth reading any its pretty cool.,,5/5,On the Dog,6.0,175.0,
224,224,68792,1442411929,"Nikki Maxwell is determined to help out Brandon save an animal shelter, but
when she and her friends enter an ice skating competition to help raise
money for the shelter, Mackenzie has to stick her nose in and cause
trouble.",Dork Diaries tales from a not so graceful ice princess,rachel renee russell,,Nikki helping the animal shelter and trying to raise money for the ice skating show while dealing with a crush on a boy and a rivalry of who can get the most sponsors  ,,it had an interesting cover because I am an ice skater ,because I could relate to nikki,,5/5,"Dork Diaries. 4, Tales From a Not-So-Graceful Ice Princess",10.0,176.0,
225,225,68791,,"Whether speeding in an ambulance to the scene of an accident or treating survivors in the aftermath of a natural disaster, it's all in a day's work for these brave paramedics. In this gripping new book, children will meet the everyday heroes who provide emergency care to injured people when every second counts. Dramatic true stories reveal how these courageous workers use their quick thinking and expert emergency skills to take action in dangerous situations. In addition, readers will get an inside look at the history of paramedics, how they are trained, and the special equipment they use. Large, full-color photos and an engaging narrative text will keep kids turning the pages to see paramedics doing what they do besthelping people and saving lives.",Paramedics to the Rescue,Nancy White,,"A little girl named Katlynn got hurt by a car. A paramedic named Ted showed up in his car to help her. But then his partner Mike Rogers showed up in his ambulance. And she had to stay in the hospital for a long time. I get her parents were really sad. In the end, it was really happy because she got safe. ",,"I thought I might like it because I like paramedics because they are nice. And I got on an ambulance once, last summer, with Kali.",I like it because it is nice and safe. I love paramedics because they are helpers.,"Well, it's just nice. There is a helicopter in the shadows on the front and the paramedics wear badges just like police officers. Also, some paramedics are also firefighters.",5/5,,3.0,177.0,
226,226,68790,394876164,"Spot, the chameleon-like leopard star of Put Me in the Zoo, is through with life in the zoo. And with changing his spots, too. Now he’s into changing his shape, and he wants to be somebody new! But as Spot soon discovers, it’s not easy being as big as an elephant or as tall as a giraffe or as small as a mouse. In fact, sometimes it’s easiest just being yourself, as he— and young readers—learn in this cheerful, rhyming Beginner Book about self-acceptance.",I Want to be Somebody New,Robert Lopshire,,the cat turned into a mouse then a elephant then  back to a cat ,,I wanted a good book so I searched good books and I want to be someone new was the first one so that's why I read I  want to be someone new,I love this story its funny and awesome and I just love it,I don't have to say anything bad about it so that's why I love it all people should read it and love it,0/5,I Want to Be Somebody New!,8.0,178.0,
227,227,68789,9781426306884,A collection of fun and surprising facts about our world.,"Wierd but True, 300 Outrageous Facts",National Geographic ,,300 random facts about random things packed into 200 pages.,,"it was made by national geographic, and the books they write are interesting.",It is random but interesting facts about random but interesting things. What's not to like?,,4/5,Weird but True! 2 : 300 Outrageous Facts,11.0,179.0,
228,228,68788,9780545013031,"When Jenny and her rival Addie make a bet that each girl will raise more
money than the other at their middle school fund-raising carnival, both
girls hope that the new cool girl will help by joining their group.",How I Survived Middle School Series,Nancy Krulik,,"It is about this girl Jenny. She's in the sixth grade and it's her first year. Her best friend, Addie, dumped her and she became a Pop, such in popular. Now they are archenemies.  ",,"Well...
I finished a series of the Candy Apple Books and I wanted to read more. When I was little, these books became really boring. So I waited another year. And it got really interesting. I wanted to know what middle school is like. Even though I'm not in middle school yet. ",I like these books because you get to know what it feels like. She had lots of problems with her friends but they become friends again. And the Pops are just thinking of makeup and stuff. They think they're better then Jenny's group of friends- which all Pops do.,nope,4/5,How I Survived Middle School: The New Girl,11.0,180.0,
229,229,68787,9780316228190,"Twilight Sparkle is a very special Pony and a loyal apprentice of Princess Celestia. Twilight Sparkle's life has been turned upside down by recent exciting events in Ponyville, so she sets off for the Crystal Empire to get advice from her former foalsitter, Princess Cadance. Join Twilight Sparkle in this original and brand-new adventure! Don't miss the special purple activity pages in the back of the book!",Twilight Sparkle and the Crystal Heart Spell,G.M. Berrow,,Twilight looks for the Crystal Heart Spell to try and become a good leader.,,I love the show My Little Pony and I love reading. Put it all together and what've you got? A Twilight Sparkle book! :),It's just really awesome!!!!!!!!,"It could use a tadbit more Rainbow Dash in it, but other then that no more changes necessary!",5/5,Twilight Sparkle and the Crystal Heart Spell,9.0,122.0,
230,230,68786,9780375868702,"Kate, Michael, and Emma have passed from one orphanage to another in the
ten years since their parents disappeared to protect them, but now they
learn that they have special powers, a prophesied quest to find a magical
book, and a fearsome enemy.",Emerald Atlas,john stephens,,they were trying to find the emerald atlas.,,my class read it together.,it was awesome!,it was a great book,5/5,Emerald Atlas,8.0,181.0,
231,231,68785,1415626952,"The Madeline books are among the most honored children's books of all time. Join Madeline in another adventure when she and Pepito run off to join the carnival with a band of traveling gypsies! At first they're having the time of their lives—they don't have to go to school, brush their teeth, or ever go to sleep. But soon Madeline and Pepito start to feel homesick. Leave it to clever Miss Clavel to find Madeline and Pepito and bring them home.",Madeline and the Gypsies,Ludwig Bemelmans,,This story is about twelve little girls and one of the twelve girls is named Madeline.  And she and a boy who lives next door and the other girls and their mother go to a gypsy carnival.  And Madeline and the boy get stuck at the top of the Ferris wheel in a storm.  And the boy climbs down and gets some help.  And at the end they go home again with their mother and the other girls.,,I decided to read the book because I thought it would be interesting.,I like this story because I love the Madeline books.,I like this book and I think you would like it too.,5/5,Madeline and the Gypsies,6.0,103.0,
232,232,68784,9780545160452,"Having escaped from the comic book world of Malice alone, Seth must decide
whether to remain there, or return to Malice, where his best friend Kady is
trapped and plotting to overthow Tall Jake with the help of a rebel group
called Havoc.",havoc,chris wooding,,"the story is about a few kids who believe in malice which in general is the name of the comic they all read, so you know how they believe in malice well there is a ritual that you say and you have to cut the hair off of the people who want to go to malice.",,i decided to read this book because i read the first one which the title of this one is malice ,cause it brings you to the edge of your seat.,no.,0/5,Havoc,9.0,182.0,
233,233,68783,,"Franny K. Stein is not your average girl -- she's a mad scientist. She prefers poison ivy to daisies, and when Franny jumps rope, she uses her pet snake. The kids in Franny's class think she's weird, wacky, and just plain creepy. Tired of being stared at, Franny decides to attempt her most dangerous experiment yet -- she's going to fit in. but when a giant Monstrous Fiend attacks the class, everyone knows it's up to a mad scientist to save the day. But has Franny lost her creepy, crawly ways?",franny k. stein,jim benton,,"The story was about this little girl who was a mad scientist. She had her own laboratory and her own lab assistant named igor. and franny loved bats. so just so you know, she liked her room like a dungeon so her mother always put up posters of pony's and unicorns.",,"Well, I decided to try the book out because Me, My dad and my brother were at the library and I was looking at the books and then my dad came up to me and said to me 'avery I just fond this book called franny k. stein' and I thought that the cover looked interesting so I decided I would check it out. and I did.",I liked it because it was sorta like a mystery,,5/5,,6.0,183.0,
234,234,68782,439678137,"This irresistible first novel tells the story of a quiet boy who embarks on a dangerous quest in order to fulfill his destiny—and find his father—in a strange world beneath New York City. When Gregor falls through a grate in the laundry room of his apartment building, he hurtles into the dark Underland, where spiders, rats, cockroaches coexist uneasily with humans. This world is on the brink of war, and Gregor's arrival is no accident. A prophecy foretells that Gregor has a role to play in the Underland's uncertain future. Gregor wants no part of it -- until he realizes it's the only way to solve the mystery of his father's disappearance. Reluctantly, Gregor embarks on a dangerous adventure that will change both him and the Underland forever.",Gregor the Overlander,Suzanne Collins,,"A boy named Gregor falls through a heating vent casing after his little sister. He then finds a mysterious new world:the Underland. He takes part in a prophecy called the Prophecy of Gray so he can go back up to the Overland. While fulfilling the prophecy, he finds his missing father.",,"I decided to read Gregor the Overlander because I had read The Hunger Games, Catching Fire and Mockingjay (which are also by Suzanne Collins) and liked them.",I liked this story because the Underland's customs are so much different than the Overland's.,"Gregor the Overlander is the first book in a series five, so if it sounds interesting, you decide to read it (and like it) you can read the next four books!",4/5,Gregor the Overlander,10.0,130.0,
235,235,68781,9781616550547,"Following the war, the new Fire Lord Zuko plans a search for his long-lost
mother--and must ask for help from his deranged sister Azula.",Avatar The Last Airbender: The Search Part 1,Bryan Konietzko & Michael Dante DiMartino,,"Fire Lord Zuko is trying to find his banished mother, Ursa with the help of Aang, Katatra, Sokka, and his evil and insane sister Azula. ",,"I LOVED the T.V. Show, so I thought the books might be good too.","I liked the story because it had action, suspense, and lots of surprises.","It continues on from the Television Series and other books, so if you haven't seen the show or read the other books you should do so before reading this one. I really love the books as much as I love the Show. By the Way, you can get the other books and DVDs of Avatar the Last Airbender at the Main Library",5/5,"Avatar, the Last Airbender. The Search. Part 1",11.0,184.0,
236,236,68810,9780375847219,"When Dink, Josh, and Ruth Rose visit Washington, D.C., just before
Christmas, they are inadvertently caught up in a kidnapping plot that was
intended for the president's dog, but also involves the president's
stepdaughter and her friend Marshall.",White House White-out,Ron Roy,,Josh and his five friends were kidnapped while rescuing a dog.,,I read it because I like mystery books.,"I liked it because it was a mystery book, like the Hardy Boys books.","No, I do not have anything else to add.",5/5,White House White-Out,8.0,185.0,
237,237,68780,9781423105459,"In this fantastical thriller, five young teens tapped as models for theme
park ""guides"" find themselves pitted against Disney villains and witches
that threaten both the future of Walt Disney World and the stability of the
world outside its walls. Using a cutting-edge technology called DHI--which
stands for both Disney Host Interactive and Daylight Hologram Imaging--Finn
Whitman, an Orlando teen, and four other kids are transformed into hologram
projections that guide guests through the park. The new technology turns
out, however, to have unexpected effects that are both thrilling and scary.
Soon Finn finds himself transported in his DHI form into the Magic Kingdom
at night. Is it real? Is he dreaming?/DIV Finn's confusion only increases
when he encounters Wayne, an elderly Imagineer who tells him that the park
is in grave danger. Led by the scheming witch, Maleficent, a mysterious
group of characters called the Overtakers is plotting to destroy Disney's
beloved realm, and maybe more. DIVThis gripping high-tech tale will thrill
every kid who has ever dreamed of sneaking into Walt Disney World after
hours and wondered what happens at night, when the park is closed.",Kingdom Keepers Disney After Dark,Ridley Pearson ,,There are some kids that are trying to save disney and the world from an over taker. They also learn friendship. ,,It sounded interesting,I liked the story because it was a mystery and adventurous. ,It was AWESOME!!!!!!!!!!!!!!!!!,5/5,"Kingdom Keepers. 1, Disney After Dark",13.0,173.0,
238,238,68779,9780689802461,"Retells the fable of a frustrated fox that, after many tries to reach a
high bunch of grapes, decides they must be sour anyway.",Lousy Rotten Stinkin' Grapes,Margie Palatini,,A fox was trying to get grapes and he asks for help but wouldn't listen to the other animal's ideas.,,Because it had the word Stinkin' in it,Because there were a lot of animals and it was funny.,I like how the porcupine wanted to shoot his quills at the grapes.,5/5,Lousy Rotten Stinkin' Grapes,4.0,149.0,
239,239,68778,786856297,"Percy Jackson is a good kid, but he can't seem to focus on his schoolwork or control his temper. And lately, being away at boarding school is only getting worse - Percy could have sworn his pre-algebra teacher turned into a monster and tried to kill him. When Percy's mom finds out, she knows it's time that he knew the truth about where he came from, and that he go to the one place he'll be safe. She sends Percy to Camp Half Blood, a summer camp for demigods (on Long Island), where he learns that the father he never knew is Poseidon, God of the Sea. Soon a mystery unfolds and together with his friends—one a satyr and the other the demigod daughter of Athena - Percy sets out on a quest across the United States to reach the gates of the Underworld (located in a recording studio in Hollywood) and prevent a catastrophic war between the gods.",Percy Jackson Book 1  The lightning thief,Rick Riordan ,,i thought that the author put a lot of work into the books and tries his best to get fans of his books. ,,I read the first book in the 4th grade and i was hooked and went on with more words to read and books to read. i read all the books from the heroes to Olympus-to Percy Jackson.,"I liked that he added a lot action, suspense, and a little romance. (But not a lot of it)","That he became so popular, that he started a camp half blood in Texas.  ",5/5,The Lightning Thief,10.0,186.0,
240,240,68777,9780316113694,"Two eleven-year-old misfits try to solve the mystery of a dead magician and
stop the evil Dr. L and Ms. Mauvais, who are searching for the secret of
immortality.",The name of this book is secret,Pseudonymous Bosch,,"Cass, a survivalist and Max-Ernest, a boy interested in jokes, riddles, and codes, find a notebook that belonged to a deceased magician, may hold the key to the secret that could change history. With the symphony of smells, they need to travel to the place you would least expect. ",,"I found this book in the school library, and thought that I could have a hoot with this book. i read and read at night and i was hooked! i tried to encourage my friends to read this book, but they won't give it a chance.  ","I liked that the author, Pseudonymous Bosch added detail to the story line and that he or she, or a monkey added activities at the end of each book, (except the last one :() the author also tries to stop at nothing to have the reader stop reading, and that he can't keep a secret. The author gives us clues that he hates mayonnaise, loves chocolate, and also loves cheese.  ","i have thoughts of who could he or she be, but i guess not all questions can be answered. ",5/5,The Name of This Book is Secret,10.0,186.0,
241,241,68776,9780439672450,"The second in a series from bestselling author Chris d'Lacey. Full of adventure and suspense, this novel about dragons reveals the truth of the fire within. When David is assigned an essay on the history of dragons, there is only one thing he knows for sure—he wants to win the prize of a research trip to the Arctic. As David begins to dig deeper into the past, he finds himself drawn down a path from which there is no going back…to the very heart of the legend of dragons, and the mysterious, ancient secret of the icefire.",Ice Fire,Chris D'Lacey,,"the story is about David, Liz, and Lucy finding out who is Lorel.
",,"I decided to read this book because I read the first book The Fire Within. the first book really hooked me on this series. No, a friend did not suggest it. I was looking around the Main Library and i found this and read the back cover and was exited to read it. Yes, I have an interest on the cover. It was interesting because it looks like a dragon crying a tear, but there is fire inside the tear. ","I loved this story because it has a lot of cliff hangers to leave you guessing "" what is going to happen next?"" There are no bad things in this story for my taste. It will make you not put down this book. It is a real page turner.",,5/5,Icefire,12.0,187.0,
242,242,68775,9781599903781,"Fifteen-year-old Dashti, sworn to obey her sixteen-year-old mistress, the
Lady Saren, shares Saren's years of punishment locked in a tower, then
brings her safely to the lands of her true love, where both must hide who
they are as they work as kitchen maids.",Book of a Thousand Days,Shannon Hale,,"This book is about a girl named Dashti who has swore to serve Lady Saren forever. Lady Saren can be little off-tempered, bossy, or picky. Some maids who served her ran away, but Dashti serves her faithfully even when Lady Saren's father makes her get locked up in the tower for seven years. She writes a journal about this (which is, well, this book) and she gets curious about her later life.",,"I decided to read this book when our school librarian recommended it to our class. I first wasn't interested at all! But when I read the back of the book (the summary), I thought that it was worth reading. The cover had an picture of a girl, so I thought that it was about a girl about as same as me. But I was wrong! This book was about a girl who is a mucker, which was a job for a person ""below the royal."" I almost think it was from back in time. ","I LOVED this story because this made me feel sympathetic to Dashti and she does all sorts of things to actually serve Lady Saren. The confusing part of this is that this is supposed to be a ""Book of a Thousand Days,"" but it doesn't reach 1000 days at all! Well, it does, but Dashti doesn't specifically tell it. Although it was confusing, I still liked the story.`",,5/5,Book of a Thousand Days,11.0,188.0,
243,243,68774,61992259,"Ivan is an easygoing gorilla. Living at the Exit 8 Big Top Mall and Video Arcade, he has grown accustomed to humans watching him through the glass walls of his domain. He rarely misses his life in the jungle. In fact, he hardly ever thinks about it at all. Instead, Ivan thinks about TV shows he’s seen and about his friends Stella, an elderly elephant, and Bob, a stray dog. But mostly Ivan thinks about art and how to capture the taste of a mango or the sound of leaves with color and a well-placed line. Then he meets Ruby, a baby elephant taken from her family, and she makes Ivan see their home—and his own art—through new eyes. When Ruby arrives, change comes with her, and it’s up to Ivan to make it a change for the better. Katherine Applegate blends humor and poignancy to create Ivan’s unforgettable first-person narration in a story of friendship, art, and hope.",The One and Only Ivan,Kathrine Applegate,,A gorilla named Ivan tries to get out of a circus.,,It won a prize.,,It was funny.,5/5,The One and Only Ivan,9.0,189.0,
244,244,68773,9780060283292,Follows a boy and his mouse through a busy day at school.,If you take a mouse to school ,Laura Numeroff,,ITS ABOUT A YOUNG BOY TAKING A MOUSE TO SCHOOL,,"YES, IT HAD AN INTERESTING COVER ",I LIKED THIS STORY BECAUSE IT HAD TALKED ABOUT A MOUSE ON A SKATE BORAD AND HIM BRINGING HIS OWN LUNCH.,NOTHING REALLY TO ADD IT WAS A GOOD BOOK ALL TOGETHER,5/5,If You Take a Mouse to School,9.0,190.0,
245,245,68771,9780689806698,"When he decides to turn his fifth grade teacher's love of the dictionary
around on her, clever Nick Allen invents a new word and begins a chain of
events that quickly moves beyond his control.",frindle,andrew clements,,it is about a kid named nick he made up a word to annoy a teacher.,,my dad suggest it for me.it had a interesting cover.,i like the story becuse they had alot of courage,add me.,5/5,Frindle,8.0,191.0,
246,246,68769,054506967X,"Rescued from the outrageous neglect of his aunt and uncle, a young boy with
a great destiny proves his worth while attending Hogwarts School for
Wizards and Witches. 180,000 first printing.",Harry potter and the sorcerer's stone,J.K Rowling,,"It's about a boy named Harry Potter who has survived from the magic that will kill you.Harry goes to the magic school called,""Hogwarts""and learns magic.",,"I decided to read this book because I love magic and wish it could happen in our world.  Also,i wonder what happens if you can use magics.","I like the story because it is interesting about magics.  And, magic is kind of like a miracle.",,4/5,Harry Potter and the Sorcerer's Stone,10.0,192.0,
247,247,68768,439622476,"Stanford Wong is in big trouble--or as he would spell it, ""trubble""--in this laugh-out-loud companion to the award-winning MILLICENT MIN, GIRL GENIUS and this season's HC, EMILY EBERS. Stanford Wong is having a bad summer. If he flunks his summer-school English class, he won't pass sixth grade. If that happens, he won't start on the A-team. If *that* happens, his friends will abandon him and Emily Ebers won't like him anymore. And if THAT happens, his life will be over. Soon his parents are fighting, his grandmother Yin-Yin hates her new nursing home, he's being ""tutored"" by the world's biggest nerdball Millicent Min--and he's not sure his ballpoint ""Emily"" tattoo is ever going to wash off.",Stanford Wong Flunks Big-Time,Lisa Yee,,"This story is about a boy named Stanford Wong who has flunked English. He can't let anybody know that, because he's got a whole basketball team who will not like a boy that flunked, and Emily Ebers will never like him if he's stupid. As he makes up lies and feels guilty for himself, something makes everything normal.",,"I had read another book from Lisa Yee, and I realized that there was a series of books from her. I like the first book I read, which was ""Millicent Min, Girl Genius."" So I knew that the other book would be interesting too.",I like this story because this book is in a diary/journal form. It describes the feeling of Stanford.,"This book is actually connected to some other books by Lisa Yee, so if you liked this book, other books will be fun too! :)",4/5,Stanford Wong Flunks Big-Time,11.0,188.0,
248,248,68767,9780545139700,"It's no longer safe for Harry at Hogwarts, so he and his best friends, Ron and Hermione, are on the run. Professor Dumbledore has given them clues about what they need to do to defeat the dark wizard, Lord Voldemort, once and for all, but it's up to them to figure out what these hints and suggestions really mean. Their cross-country odyssey has them searching desperately for the answers, while evading capture or death at every turn. At the same time, their friendship, fortitude, and sense of right and wrong are tested in ways they never could have imagined. The ultimate battle between good and evil that closes out this final chapter of the epic series takes place where Harry's Wizarding life began: at Hogwarts. The satisfying conclusion offers shocking last-minute twists, incredible acts of courage, powerful new forms of magic, and the resolution of many mysteries. Above all, this intense, cathartic book serves as a clear statement of the message at the heart of the Harry Potter series: that choice matters much more than destiny, and that love will always triumph over death. Series Information: Eleven-year-old Harry Potter is an orphan living with his cruel aunt and uncle when he makes a discovery that will change his life forever: he is a wizard. He is whisked away to the mystical Hogwarts School of Witchcraft and Wizardry to learn magical skills, from potions to spells to flying on broomsticks. But an evil power is rising, the same one that threatened to destroy the entire world when Harry was only a baby. As Harry learns the truth about his family, his childhood, and his mysterious lightning-bolt-shaped scar, he finds unforgettable friendship, a loving surrogate family, and the courage to face the darkest force ever to menace the wizarding world. These charming and engrossing books bring an intensely detailed and captivating world to life and are perfect for enjoying individually or reading aloud.",Harry Potter Book 7: Harry Potter and the Deathly Hallows,J. K. Rowling,,"This story is about a boy named Harry Potter and his friends, Hermione Granger and Ronald Weasley, who are searching for Lord Voldemort's Horcruxes.",,I decided to read this book because I love to read the Harry Potter series. The Harry Potter series is the best series I have ever read!,I liked this story because I love mystery and adventure; and that's what this story is all about.  I love that there is an epilogue at the end 19 years from the end of this book. I also like that the author dedicated the book to me because I have stuck with Harry until the very end.,"It is sad to know that this is the last book of the Harry Potter series. I would recommend this book to people who like mystery, adventure, and (of course) magic. ",5/5,Harry Potter and the Deathly Hallows,11.0,172.0,
249,249,68772,9780545270113,"From the award-winning author of SO B. IT, a story about family, friendship, and...pie! When Alice's Aunt Polly, the Pie Queen of Ipswitch, passes away, she takes with her the secret to her world-famous pie-crust recipe. Or does she? In her will, Polly leaves the recipe to her extraordinarily fat, remarkably disagreeable cat, Lardo . . . and then leaves Lardo in the care of Alice. Suddenly, the whole town is wondering how you leave a recipe to a cat. Everyone wants to be the next big pie-contest winner, and it's making them pie-crazy. It's up to Alice and her friend Charlie to put the pieces together and discover the not-so-secret recipe for happiness: Friendship. Family. And the pleasure of doing something for the right reason. With Pie, acclaimed author Sarah Weeks has baked up a sweet and satisfying delight, as inviting as warm pie on a cold day. You'll enjoy every last bite.",Pie,Sarah Weeks,,"Book, ""Pie"" was good as an actual pie! It's genres were mystery, family, and friendship. At the end of the story, Weeks surprised me by how the main characters(Alice and Charlie) solved the mystery. What I also liked about this book was at the end of each chapter, Weeks included many different pie recipes. It was clever of her.",,,,,4/5,Pie,,193.0,
250,250,68766,9781416909842,"It’s boys vs. girls when the noisiest, most talkative, and most competitive fifth graders in history challenge one another to see who can go longer without talking. Teachers and school administrators are in an uproar, until an innovative teacher sees how the kids’ experiment can provide a terrific and unique lesson in communication. In No Talking, Andrew Clements portrays a battle of wills between some spunky kids and a creative teacher with the perfect pitch for elementary school life that made Frindle an instant classic.",No Talking,andrew clements,,"the story was about a boy name was dave and the girl,s name is lensy started a compitishin agentes the boys and girl,s.the compishin was how,s ever team whould get the most pointes.",,i thout i should try a new auther. allso my dad subgested this book for me.a nother way i thout it was a insteresting cver.,i like this story becuse it showes alot of cerege whith the cariteres in the story.,i whould add my self to the story.,5/5,No Talking,8.0,191.0,
251,251,68765,9781599908410,"Princess Annabelle, who is immune to magic and can temporarily reverse
spells put on others, encounters various fairy tale characters when she
embarks on an expedition into the woods to find a dwarf responsible for
turning Sleeping Beauty's prince into a bear. By the author of The Frog
Princess.",Unlocking the Spell,E. D. Baker,,"This book is a remodel of Sleeping Beauty. It is were Gwendolyn (a.k.a Sleeping Beauty) and her sister Annie, are trying to save Gwendolyn's Prince. There are also many different fairy tales in there quest. Their quest is were there is a dwarf that cast a spell on Gwendolyn's Prince into a bear. Will they ever find the dwarf to undo the spell. Will Annie and her prince ever help Gwendolyn and her Prince.  I don't know. I guess you will just have to read the book your self. ",,A couple of friends and myself are interested in re-written fairy tales. We were in our Book Fair and decided that we had to check it out. ,"This book is mysterious, romantic, adventurous, and so much more all warped into one. ",This book is Awesome!!!!!!!!!!!!!!!!!!!!,5/5,Unlocking the Spell: A Tale of the Wide-Awake Princess,13.0,173.0,
252,252,68764,9780142414330,"Recounts the adventures of Mibs Beaumont, whose thirteenth birthday has
revealed her ""savvy""--a magical power unique to each member of her family--
just as her father is injured in a terrible accident.",Savvy,Ingrid Law,,"It is about a family named the Beaumonts and each kid and one of their parents each all have a supernatural power. The kids dad got hurt so the mom and a son went to help the dad. The other kids decided that they wanted to help their dad too. So they sneaked on a bus and traveled. The bus driver did not notice that the kids were on the bus until well into the trip. After a while the kids and bus driver, and a few other people went to help save the kids dad. ",,"I got it last year at the library for the summer free book reading contest for yourself, and I have finally gotten to read it. It had an interesting cover and the details on the back cover sounded very interesting. It was a my kind of book. ",It was a my kind of story. It had short chapters and cliffhangers to keep me up and ready. It made me want to read the story over and over again. ,This book is AWESOME!!!!!!!!!!!!!!!!!!!!!!!!!!! ,5/5,Savvy,13.0,173.0,
253,253,68763,,"The most anticipated Star Wars biography yet! One of the most feared villains of all time. One of the most iconic characters of the Star Wars saga. One incredible story. Features new, never-before-told secrets about Darth Maul!",The Wrath of Darth Maul,Ryder Windham,,The book is about Darth Maul's life from when he was three to some of the latest star wars the clone wars episodes.,,I found it on wookieepedia and it sounded interesting. ,It has so many details about how horrible some things are and puts you in perspective of everything,,4/5,,11.0,179.0,
254,254,68762,9780446618892,"""Adventure, fighting, backstabbing and love abound"" (VOYA) in this action-
packed follow-up to the #1 New York Times blockbuster MAXIMUM RIDE: THE
ANGEL EXPERIMENT, now available in paperback. The heart-stopping quest of
six winged kids--led by fourteen-year-old Max--to find their parents and
investigate the mind-blowing mystery of their ultimate destiny continues
when they're taken under the wing of an FBI agent and attempt, for the
first time, to live ""normal"" lives. But going to school and making friends
doesn't stop them from being relentlessly hunted by sinister spies, who
lead Max to face her most frightening match yet: a new and better version
of herself.",School's Out- Forever,James Patterson,,"Max, Fang, Iggy, Nudge, Gasman, Angel and Total (a talking dog) are avian-human hybrids, or bird kids with wings. When Fang gets hurt, he is rushed to the hospital, where they meet Anne Walker, and she decides to look after them for a while. Anne enrolls the flock in school, and her plan with the School (not the learning kind, an experimental lab) backfires, and her true intentions are revealed.",,"My teacher read the first book in the series, and I liked it a lot. I wanted to read the next book.","It has a lot of cliffhangers, and there was a lot of action that made me want to keep reading.",,5/5,School's Out--Forever: A Maximum Ride Novel,10.0,194.0,
255,255,68758,,"In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtue—Candor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent). On an appointed day of every year, all sixteen-year-olds must select the faction to which they will devote the rest of their lives. For Beatrice, the decision is between staying with her family and being who she really is—she can't have both. So she makes a choice that surprises everyone, including herself. During the highly competitive initiation that follows, Beatrice renames herself Tris and struggles alongside her fellow initiates to live out the choice they have made. Together they must undergo extreme physical tests of endurance and intense psychological simulations, some with devastating consequences. As initiation transforms them all, Tris must determine who her friends really are—and where, exactly, a romance with a sometimes fascinating, sometimes exasperating boy fits into the life she's chosen. But Tris also has a secret, one she's kept hidden from everyone because she's been warned it can mean death. And as she discovers unrest and growing conflict that threaten to unravel her seemingly perfect society, she also learns that her secret might help her save those she loves . . . or it might destroy her.",Divergent,Veronica Roth ,,"The story is about a girl named Beatrice Prior and she supposedly lives in what the author decided was future Chicago. The government has separated all of these people into five factions Dauntless the brave. Amity the peaceful. Abnegation the selfless. Candor the honest, and Erudite the Intelligent. When you turn sixteen you will choose witch faction you will go to and spend the rest of your life with Beatrice has the choice of staying with her family of betraying them. What will she choose? Who knows?",,I decided to red this book because I had just finished The Hunger Games and was really interested in Dystopian future type things and a few of my teachers suggested Divergent to me and I got hooked on the first page!,I loved this story because there is a mystery around every page. It's that type of book that makes you want to read it more and more and MORE!,For all you Dystopian future lovers out there Divergent is a definatly  a MUST READ!,5/5,,12.0,195.0,
